Wall time,time/total_timesteps,eval/mean_reward
1670942192.72842,620499,68.5509262084961
1670942249.86656,621999,352.162200927734
1670942269.30368,622499,391.019195556641
1670942307.28511,623499,77.3837814331055
1670942365.01942,624999,381.292541503906
1670942384.17334,625499,78.4526672363281
1670942403.26978,625999,104.156707763672
1670942422.00082,626499,152.074462890625
1670942460.10145,627499,343.266418457031
1670942497.5427,628499,84.744270324707
1670942516.32823,628999,63.7568969726563
1670942574.23359,630499,401.783660888672
1670942593.3322,630999,325.404052734375
1670942707.69583,633999,342.645477294922
1670942783.97656,635999,263.361633300781
1670942879.93979,638499,368.99169921875
1670942898.91739,638999,100.610481262207
1670942917.78192,639499,147.961349487305
1670942993.07993,641499,293.000793457031
1670943049.6856,642999,83.8394165039063
1670943145.08018,645499,129.522811889648
1670943202.37007,646999,288.149108886719
1670943296.76937,649499,193.152221679688
1670943315.49219,649999,378.398010253906
1670943372.31397,651499,30.6704483032227
1670943447.42248,653499,154.636093139648
1670943523.72602,655499,180.498718261719
1670943619.60609,657999,139.247192382813
1670943715.12368,660499,363.135070800781
1670943751.82837,661499,79.5228729248047
1670943809.22267,662999,235.867553710937
1670943828.06727,663499,471.513641357422
1670943866.41403,664499,208.071014404297
1670943998.35122,667999,111.487098693848
1670944167.70567,672499,353.415649414063
1670944185.72006,672999,71.7187805175781
1670944223.74894,673999,156.453536987305
1670944242.42345,674499,251.134902954102
1670944299.12009,675999,135.31428527832
1670944318.22414,676499,88.60595703125
1670944356.73246,677499,398.759063720703
1670944432.73945,679499,270.721954345703
1670944471.11387,680499,159.308944702148
1670944546.04342,682499,351.9892578125
1670944565.00545,682999,72.7300796508789
1670944584.13254,683499,357.825439453125
1670944603.29707,683999,158.074279785156
1670944622.2896,684499,319.639587402344
1670944698.25404,686499,74.8838348388672
1670944755.12036,687999,346.328887939453
1670944774.4461,688499,397.043304443359
1670944850.4235,690499,340.224914550781
1670944945.08829,692999,451.255493164063
1670944964.17769,693499,439.44482421875
1670945040.04424,695499,296.370910644531
1670945097.92931,696999,160.080841064453
1670945174.68901,698999,48.0233879089356
1670945537.53802,708499,38.4580764770508
1670945556.67038,708999,84.2736968994141
1670945632.37404,710999,366.861602783203
1670945821.34676,715999,86.9246139526367
1670945840.38393,716499,367.979400634766
1670945916.64183,718499,342.886505126953
1670945955.16392,719499,440.907501220703
1670945973.89575,719999,433.563720703125
1670945992.94109,720499,119.73966217041
1670946012.26445,720999,393.951751708984
1670946068.60535,722499,36.7740135192871
1670946125.04112,723999,297.679168701172
1670946163.84177,724999,290.862976074219
1670946203.137,725999,163.51106262207
1670946222.83877,726499,191.76921081543
1670946262.27557,727499,135.869781494141
1670946282.10145,727999,161.751998901367
1670946321.8555,728999,266.432556152344
1670946341.77158,729499,164.356521606445
1670946361.5261,729999,291.40576171875
1670946381.16636,730499,50.8377456665039
1670946400.62558,730999,454.864532470703
1670946440.07284,731999,207.874130249023
1670946576.36462,735499,204.967132568359
1670946634.26968,736999,408.057098388672
1670946653.74994,737499,130.513137817383
1670946692.27113,738499,400.071929931641
1670946827.25694,741999,145.32194519043
1670946905.46787,743999,458.180633544922
1670946944.62855,744999,206.983184814453
1670946963.72369,745499,59.0455894470215
1670947021.8624,746999,60.4010620117188
1670947040.84688,747499,143.963928222656
1670947118.02976,749499,113.585861206055
1670947137.46915,749999,197.145324707031
1670947156.63639,750499,236.028076171875
1670947194.94679,751499,395.050109863281
1670947328.69106,754999,155.328308105469
1670947347.73564,755499,91.0726318359375
1670947366.92356,755999,177.867752075195
1670947405.23855,756999,112.301651000977
1670947443.61171,757999,255.12548828125
1670947462.77643,758499,363.771575927734
1670947596.91809,761999,139.130401611328
1670947692.08495,764499,392.769927978516
1670947806.59751,767499,456.588623046875
1670947863.87386,768999,211.040115356445
1670947882.96187,769499,57.8585662841797
1670947940.75682,770999,73.1183776855469
1670948074.8974,774499,38.9786834716797
1670948132.4435,775999,414.443298339844
