train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,train/ent_coef,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes
,,,,,,,56000,,11,4843,500.0,2.4239809700000006,112
0.245188906788826,1.3010449999999998,500.0,-38.81788635253906,56399,0.0003,0.6983718872070312,56500,0.016050094738602638,,,,,
2.2437338829040527,5.8874444,500.0,-38.85141372680664,56899,0.0003,0.6368023157119751,57000,0.015966884791851044,,,,,
0.44001495838165283,8.9875376,500.0,-38.626258850097656,57399,0.0003,0.6506133079528809,57500,0.01572197861969471,,,,,
-1.5602720975875854,7.1368262,500.0,-37.88510513305664,57899,0.0003,0.6866286396980286,58000,0.01550143864005804,,,,,
,,,,,,,58000,,11,5016,500.0,2.97816274,116
-2.6650617122650146,5.11977,500.0,-37.4755859375,58399,0.0003,0.6080716252326965,58500,0.015065567567944527,,,,,
-2.9919815063476562,1.070872,500.0,-36.77604293823242,58899,0.0003,0.5166709423065186,59000,0.015262421220541,,,,,
-1.6473429203033447,3.8249147999999997,500.0,-36.65150833129883,59399,0.0003,1.6233621835708618,59500,0.014751575887203217,,,,,
-0.5811115503311157,13.429991000000001,500.0,-36.26158142089844,59899,0.0003,0.6747039556503296,60000,0.014837889932096004,,,,,
,,,,,,,60000,,11,5189,500.0,3.08257791,120
-0.8570391535758972,4.8893097999999995,500.0,-35.29861068725586,60399,0.0003,0.626850962638855,60500,0.014814029447734356,,,,,
0.16820292174816132,3.0351384,500.0,-35.382789611816406,60899,0.0003,0.49396002292633057,61000,0.01419665664434433,,,,,
1.249734878540039,6.406801400000001,500.0,-34.98466491699219,61399,0.0003,0.8032498359680176,61500,0.01425636000931263,,,,,
-0.31005412340164185,1.7475304,500.0,-34.16423034667969,61899,0.0003,0.6177581548690796,62000,0.014195478521287441,,,,,
,,,,,,,62000,,11,5362,500.0,3.21805879,124
1.9449560642242432,1.548925,500.0,-34.46099090576172,62399,0.0003,0.839655876159668,62500,0.014008017256855965,,,,,
0.055283308029174805,4.7601492,500.0,-34.40544891357422,62899,0.0003,0.4878701865673065,63000,0.014034231193363667,,,,,
1.1185967922210693,2.2680978000000005,500.0,-33.855194091796875,63399,0.0003,0.5070249438285828,63500,0.013493872247636318,,,,,
1.374320387840271,1.0416463999999999,500.0,-33.35200881958008,63899,0.0003,0.5703092813491821,64000,0.013234574347734451,,,,,
,,,,,,,64000,,11,5539,500.0,3.14502535,128
0.33864444494247437,11.751425999999999,500.0,-33.12469482421875,64399,0.0003,2.4501912593841553,64500,0.012932731769979,,,,,
0.45285364985466003,4.6867076,500.0,-32.673583984375,64899,0.0003,0.4392419457435608,65000,0.012417446821928024,,,,,
-0.8169819116592407,3.6457406,500.0,-32.149452209472656,65399,0.0003,2.253693103790283,65500,0.012599102221429348,,,,,
-3.1686224937438965,2.4567298,500.0,-32.28024673461914,65899,0.0003,0.46015220880508423,66000,0.012210698798298836,,,,,
,,,,,,,66000,,11,5713,500.0,3.21101711,132
-1.3669421672821045,7.0837424,500.0,-31.55286407470703,66399,0.0003,0.4700416922569275,66500,0.012221877463161945,,,,,
1.6000816822052002,0.2018068,500.0,-31.410749435424805,66899,0.0003,0.36924639344215393,67000,0.011814998462796211,,,,,
1.2642563581466675,0.9089953999999999,500.0,-30.729782104492188,67399,0.0003,0.5157606601715088,67500,0.01193076279014349,,,,,
2.9363784790039062,4.1756248,500.0,-30.626249313354492,67899,0.0003,0.6341059803962708,68000,0.011537574231624603,,,,,
,,,,,,,68000,,11,5889,500.0,3.20779476,136
1.7796522378921509,0.887486,500.0,-29.91771697998047,68399,0.0003,0.39389482140541077,68500,0.011515649035573006,,,,,
0.8612238168716431,0.5004642,500.0,-30.478118896484375,68899,0.0003,0.3333899974822998,69000,0.011222225613892078,,,,,
1.1149375438690186,1.1119198000000001,500.0,-29.20394515991211,69399,0.0003,0.6923369765281677,69500,0.011096729896962643,,,,,
0.8243120908737183,0.234851,500.0,-29.391979217529297,69899,0.0003,0.4080551266670227,70000,0.010727619752287865,,,,,
,,,,,,,70000,,11,6065,500.0,3.2312193200000006,140
-1.3326849937438965,0.6197818,500.0,-29.480499267578125,70399,0.0003,0.35036617517471313,70500,0.01060336735099554,,,,,
-0.6807563304901123,4.7511798,500.0,-28.43292808532715,70899,0.0003,0.38201212882995605,71000,0.010408315807580948,,,,,
-0.37649452686309814,2.6666718000000005,500.0,-28.546239852905273,71399,0.0003,0.34707576036453247,71500,0.010263741947710514,,,,,
0.4462565779685974,1.0670462,500.0,-27.879783630371094,71899,0.0003,0.34559234976768494,72000,0.009982448071241379,,,,,
,,,,,,,72000,,11,6238,500.0,3.40249193,144
-1.2235647439956665,0.7991086,500.0,-27.507076263427734,72399,0.0003,0.3115420341491699,72500,0.009813827462494373,,,,,
-1.735663652420044,5.4116182,500.0,-27.496078491210938,72899,0.0003,0.2686343789100647,73000,0.009589055553078651,,,,,
1.4868297576904297,4.836887,500.0,-26.747922897338867,73399,0.0003,0.7422125339508057,73500,0.009431630373001099,,,,,
-1.7263774871826172,6.796671999999999,500.0,-26.860759735107422,73899,0.0003,4.936537742614746,74000,0.00942680612206459,,,,,
,,,,,,,74000,,11,6411,500.0,3.3762958399999996,148
-2.84071683883667,0.37671259999999995,500.0,-26.71023941040039,74399,0.0003,0.3355129361152649,74500,0.009200666099786758,,,,,
-0.5057758688926697,6.038657000000001,500.0,-26.472558975219727,74899,0.0003,0.31735461950302124,75000,0.009122556075453758,,,,,
-1.1428322792053223,1.2972788,500.0,-26.336753845214844,75399,0.0003,0.3302921652793884,75500,0.008879161439836025,,,,,
2.6543197631835938,4.9172058000000005,500.0,-25.40886688232422,75899,0.0003,0.3037847876548767,76000,0.008733624592423439,,,,,
,,,,,,,76000,,11,6582,500.0,3.7584297399999995,152
0.8412095308303833,1.6158818,500.0,-24.79977798461914,76399,0.0003,0.5761280655860901,76500,0.008936439640820026,,,,,
0.8832828402519226,5.888861400000001,500.0,-25.10446548461914,76899,0.0003,0.30566680431365967,77000,0.008591070771217346,,,,,
0.2902863025665283,1.5963982,500.0,-24.853084564208984,77399,0.0003,0.3454088866710663,77500,0.008550288155674934,,,,,
0.4014330506324768,1.445552,500.0,-24.665386199951172,77899,0.0003,0.31263837218284607,78000,0.008646123111248016,,,,,
,,,,,,,78000,,11,6752,500.0,3.769020269999999,156
-3.66237735748291,6.305145399999999,500.0,-23.708837509155273,78399,0.0003,0.2668982744216919,78500,0.008387853391468525,,,,,
-1.7578456401824951,3.4222425999999997,500.0,-23.573060989379883,78899,0.0003,0.2815130352973938,79000,0.008159088902175426,,,,,
-2.408520221710205,4.0122498,500.0,-23.52431869506836,79399,0.0003,0.23599675297737122,79500,0.007890891283750534,,,,,
-1.8328227996826172,1.6571577999999998,500.0,-23.034074783325195,79899,0.0003,2.299788475036621,80000,0.007934551686048508,,,,,
,,,,,,,80000,,11,6924,500.0,3.8076165599999996,160
0.23229923844337463,4.2861698,500.0,-22.77422332763672,80399,0.0003,0.20800179243087769,80500,0.007450751960277557,,,,,
-0.6087294816970825,0.27453120000000003,500.0,-22.392972946166992,80899,0.0003,0.2713720500469208,81000,0.0074922144412994385,,,,,
-1.2600243091583252,1.154781,500.0,-22.19574546813965,81399,0.0003,0.22251088917255402,81500,0.007317125331610441,,,,,
