time/total_timesteps,eval/mean_ep_length,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_reward,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean
38000,500.0,37899,0.49713167548179626,0.0003,-33.667266845703125,7.6497208,0.014962717890739441,3.631957530975342,,,,,
38000,,,,,,,,,2.4870566315789477,76,11,3358,500.0
38500,500.0,38399,4.118681907653809,0.0003,-33.90283203125,4.6898378,0.014678293839097023,0.41063016653060913,,,,,
39000,500.0,38899,0.6255519390106201,0.0003,-33.44435119628906,2.5357838,0.014351657591760159,5.152373790740967,,,,,
39500,500.0,39399,-2.103503704071045,0.0003,-32.49607849121094,4.182143399999999,0.014260821044445038,2.0032124519348145,,,,,
40000,500.0,39899,-0.6758025884628296,0.0003,-32.911190032958984,7.1969122,0.01445779949426651,0.35502076148986816,,,,,
40000,,,,,,,,,2.6069226875,80,11,3537,500.0
40500,500.0,40399,1.4319992065429688,0.0003,-32.57384490966797,5.7993924,0.013813719153404236,0.3301990032196045,,,,,
41000,500.0,40899,-1.328689455986023,0.0003,-31.87091636657715,4.2237018,0.013685308396816254,3.1109519004821777,,,,,
41500,500.0,41399,0.5489174723625183,0.0003,-31.762405395507812,7.591883200000001,0.013200231827795506,0.31027019023895264,,,,,
42000,500.0,41899,0.7432051301002502,0.0003,-31.712738037109375,5.006643,0.012918987311422825,0.35806789994239807,,,,,
42000,,,,,,,,,2.6484780833333335,84,11,3712,500.0
42500,500.0,42399,-0.9068681001663208,0.0003,-30.68175506591797,4.6681942,0.013232341967523098,2.909769296646118,,,,,
43000,500.0,42899,-0.3097342848777771,0.0003,-30.807607650756836,3.0288382,0.012982445769011974,0.3544430136680603,,,,,
43500,500.0,43399,-0.41900554299354553,0.0003,-30.120525360107422,5.2629672,0.01262150052934885,3.057978630065918,,,,,
